#01/20/2015 Tuesday   Dals Development Computer
*09:12:34 p  1 t.php>  
*09:58:03 p  1 t.php>  
*09:58:05 p  1 account_showscans.php>  
*09:58:07 p  1 t.php>  
*09:58:25 p  1 attendance.php>  
*09:58:59 p  1 t.php>  
*09:59:05 p  1 attendance.php>  
*09:59:21 p  1 reader.php>  
*10:03:00 p  1 reader.php>  
*10:03:10 p  1 account.php>  
*10:03:12 p  1 account_setup.php>  
*11:24:23 p  1 reader.php>  
*11:24:24 p  1 reader_setup.php>  
*11:24:24 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:24:38 p  1 reader_setup.php>  
*11:24:38 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:26:07 p  1 reader_setup.php>  
*11:26:07 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:26:08 p  1 reader_setup.php>  
*11:26:08 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:33:54 p  1 reader_setup.php>  
*11:33:54 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:33:57 p  1 reader_setup.php>  
*11:33:57 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:34:01 p  1 reader_setup.php>  
*11:34:01 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:34:38 p  1 reader_setup.php>  
*11:34:38 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:37:02 p  1 reader_setup.php>  
*11:37:02 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:37:02 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:37:02 e  1 preflib.php->SavePrefsForUser> SQL Querry Failure!
+> SQL=INSERT INTO Prefs (UserID, PrefName, PrefValue) VALUES (0, "LastDay", "12/5/2014")
*11:40:24 p  1 reader_setup.php>  
*11:40:24 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:40:24 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 0
*11:40:24 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*11:40:24 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*11:40:26 p  1 reader_setup.php>  
*11:40:26 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*11:40:27 p  1 reader_setup.php>  
*11:40:27 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*11:40:31 p  1 reader_setup.php>  
*11:40:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*11:40:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*11:40:31 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*11:40:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*11:41:57 p  1 reader_uploadlog.php>  
*11:43:27 p  1 reader_uploadlog.php>  
*11:43:37 p  1 reader_uploadlog.php>  
*11:48:11 p  1 reader_uploadlog.php>  
