#01/15/2015 Thursday   Dals Development Computer
*10:09:32 p  0 index.php>  
*10:09:32 p  0 login.php>  
*10:09:39 p  0 login.php>  
*10:09:39 s  0 userlib.php->StartLogin> checking=dal, bypass=false
*10:09:39 s  0 userlib.php->StartLogin> Login failure for username "dal". Password mismatch. 
*10:09:39 s  0 login.php> Login Attempt Failed. UserName=dal
+> IP Address=::1
*10:09:43 p  0 login.php>  
*10:09:43 s  0 login.php> Developer bypass attempted for username=dal
*10:09:43 s  0 userlib.php->StartLogin> checking=dal, bypass=true
*10:09:43 s  0 userlib.php->StartLogin> User "dal" used bypass feature to avoid password match.
*10:09:43 s  1 preflib.php->GetPrefsForUser> 0 preferences retrieved successfully for user 1
*10:09:43 s  1 userlib.php->StartLogin> >>>>>>>>>>> Brandon, Dalbert
+> New Login!  UserName=dal,   UserID=1
+> IP Address= ::1    Tags=Member/Editor/Admin
+> Browser=Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
*10:09:43 p  1 welcome.php>  
*10:09:45 p  1 admin.php>  
*10:09:48 p  1 members.php>  
*10:09:48 p  1 members_listpics.php>  
*10:09:54 p  1 members_list.php>  
*10:17:24 p  1 members.php>  
*10:17:24 p  1 members_listpics.php>  
*10:17:28 p  1 members_edituser.php>  
*10:20:23 p  1 badges.php>  
*10:20:23 p  1 badges_showall.php>  
*10:20:25 p  1 badges_showbadge.php>  
*10:22:53 p  1 badges_showbadge.php>  
*10:22:55 p  1 members.php>  
*10:22:55 p  1 members_listpics.php>  
*10:22:58 p  1 members_edituser.php>  
*10:23:03 p  1 members_edituser.php>  
*10:23:06 p  1 members_edituser.php>  
*10:23:13 p  1 badges.php>  
*10:23:13 p  1 badges_showall.php>  
*10:23:14 p  1 badges_showbadge.php>  
*10:23:42 p  1 badges.php>  
*10:23:42 p  1 badges_showall.php>  
*10:24:20 p  1 badges_makegif.php>  
*10:26:36 p  1 badges.php>  
*10:26:36 p  1 badges_showall.php>  
*10:26:37 p  1 badges_showbadge.php>  
*10:26:40 p  1 members.php>  
*10:26:40 p  1 members_listpics.php>  
*10:26:41 p  1 members_edituser.php>  
*10:27:05 p  1 members_edituser.php>  
*10:27:07 p  1 members_edituser.php>  
*10:27:08 p  1 badges_print.php>  
*10:27:50 p  1 badges.php>  
*10:27:50 p  1 badges_showall.php>  
*10:27:51 p  1 badges_showbadge.php>  
*10:31:20 p  1 badges_showbadge.php>  
*10:32:35 p  1 badges_printsticker.php>  
*10:32:39 p  1 badges_showbadge.php>  
*10:32:41 p  1 badges_print.php>  
*10:32:42 p  1 badges_showbadge.php>  
*10:33:50 p  1 badges_listids.php>  
*10:33:53 p  1 badges_showbadge.php>  
*10:38:32 p  1 badges_print.php>  
*10:38:37 p  1 badges_showbadge.php>  
*11:18:26 p  1 badges_showbadge.php>  
*11:18:37 p  1 badges_showbadge.php>  
*11:20:12 p  1 badges_showbadge.php>  
*11:20:47 p  1 badges_showbadge.php>  
*11:21:22 p  1 badges_showbadge.php>  
*11:27:24 p  1 badges.php>  
*11:27:24 p  1 badges_showall.php>  
*11:27:40 p  1 badges.php>  
*11:27:40 p  1 badges_showall.php>  
*11:27:41 p  1 badges.php>  
*11:27:41 p  1 badges_showall.php>  
*11:27:43 p  1 badges_showbadge.php>  
*11:27:45 p  1 badges_print.php>  
*11:37:09 p  1 badges_print.php>  
*11:39:24 p  1 badges_print.php>  
*11:39:50 p  1 badges_print.php>  
*11:41:02 p  1 badges_print.php>  
*11:42:48 p  1 badges_print.php>  
*11:43:38 p  1 badges_print.php>  
*11:44:23 p  1 admin.php>  
*11:44:24 p  1 admin_uploadusers.php>  
*11:46:00 p  1 members.php>  
*11:46:00 p  1 members_listpics.php>  
*11:46:02 p  1 members_edituser.php>  
*11:46:04 p  1 badges_print.php>  
*11:46:04 e  1 badges_print.php> Bad Page Invoke. No BadgeID given.
*11:46:10 p  1 welcome.php>  
*11:46:13 p  1 badges.php>  
*11:46:13 p  1 badges_showall.php>  
*11:46:16 p  1 badges_showbadge.php>  
*11:46:17 p  1 badges_print.php>  
*11:47:34 p  1 badges_print.php>  
*11:48:01 p  1 badges_print.php>  
*11:55:09 p  1 badges_print.php>  
*11:55:11 p  1 badges_print.php>  
*11:55:16 p  1 badges_print.php>  
*12:03:44 p  1 badges_print.php>  
*12:05:43 p  1 badges_showall.php>  
*12:05:45 p  1 badges_showbadge.php>  
*12:05:50 p  1 badges_printsticker.php>  
*12:28:20 p  1 badges_printsticker.php>  
*12:28:20 e  1 userlib.php->GetUserInfo> SQL Querry Failure!
+> SQL=SELECT * FROM UserView WHERE BadgeID=A051
*12:29:03 p  1 badges_printsticker.php>  
*12:29:38 p  1 badges_printsticker.php>  
*12:29:58 p  1 badges_printsticker.php>  
*12:31:51 p  1 badges_printsticker.php>  
*12:32:07 p  1 badges_printsticker.php>  
*12:55:23 p  1 badges_printsticker.php>  
*12:56:48 p  1 badges_printsticker.php>  
*12:57:21 p  1 badges_printsticker.php>  
*12:58:44 p  1 members.php>  
*12:58:44 p  1 members_listpics.php>  
*12:58:47 p  1 members_edituser.php>  
*12:58:48 p  1 badges_printsticker.php>  
*12:58:48 e  1 badges_printsticker.php> Bad Page Invoke. No BadgeID given.
*12:58:58 p  1 members_edituser.php>  
*13:00:15 p  1 members_edituser.php>  
*13:00:16 p  1 badges_printsticker.php>  
*13:00:19 p  1 members_edituser.php>  
*13:00:21 p  1 badges_print.php>  
*13:00:25 p  1 members_edituser.php>  
*13:00:27 p  1 members_uploadpic.php>  
*13:00:27 e  1 members_uploadpic.php> Bad Page Invoke. No UserID given.
*13:00:33 p  1 members_edituser.php>  
*13:00:46 p  1 members_edituser.php>  
*13:00:48 p  1 members_uploadpic.php>  
*13:00:50 p  1 members_edituser.php>  
*13:00:52 p  1 badges_showbadge.php>  
*13:00:52 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Caleb Thacker, BadgeID=A050.
*13:00:54 p  1 badges_showbadge.php>  
*13:00:55 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Caleb Thacker, BadgeID=A050.
*13:01:48 p  1 members.php>  
*13:01:48 p  1 members_listpics.php>  
*13:01:49 p  1 members_edituser.php>  
*13:01:53 p  1 badges_print.php>  
*13:18:04 p  1 members.php>  
*13:18:04 p  1 members_listpics.php>  
*13:18:06 p  1 members_edituser.php>  
*13:18:07 p  1 badges_printsticker.php>  
*16:44:57 p  1 index.php>  
*16:44:57 p  1 welcome.php>  
*16:45:00 p  1 admin.php>  
*16:45:03 p  1 reader.php>  
*16:47:39 p  1 reader.php>  
*16:47:41 p  1 setup.php>  
*16:47:43 p  1 reader.php>  
*16:47:44 p  1 members.php>  
*16:47:44 p  1 members_listpics.php>  
*16:47:46 p  1 attendance.php>  
*16:47:47 p  1 admin.php>  
*16:47:49 p  1 reader.php>  
*16:48:18 p  1 reader.php>  
*16:48:20 p  1 attendance.php>  
*16:48:23 p  1 badges.php>  
*16:48:23 p  1 badges_showall.php>  
*16:48:25 p  1 reader.php>  
*16:48:26 p  1 setup.php>  
*16:48:28 p  1 admin.php>  
*16:48:32 p  1 setup.php>  
*16:49:06 p  1 reader.php>  
*16:50:43 p  1 reader_uploadlog.php>  
*16:52:39 p  1 reader.php>  
*16:52:41 p  1 reader_uploadlog.php>  
*16:53:29 p  1 reader_uploadlog.php>  
*16:59:24 p  1 reader_uploadlog.php>  
*17:05:05 p  1 reader_uploadlog.php>  
*17:05:12 p  1 reader_uploadlog.php>  
*17:05:30 p  1 reader_uploadlog.php>  
*17:05:33 p  1 reader_uploadlog.php>  
*17:05:49 p  1 reader_uploadlog.php>  
