#01/19/2015 Monday   Dals Development Computer
*13:37:51 p  1 account.php>  
*13:37:52 p  1 account_showscans.php>  
*13:38:12 p  1 account_showscans.php>  
*13:38:27 p  1 account_showscans.php>  
*13:38:37 p  1 account_showscans.php>  
*13:39:08 p  1 account_showscans.php>  
*13:40:48 p  1 account_showscans.php>  
*13:40:56 p  1 account_showscans.php>  
*13:41:30 p  1 account_showscans.php>  
*15:28:03 p  1 account_setup.php>  
*15:28:08 p  1 account_setup.php>  
*15:28:50 p  1 account_setup.php>  
*15:28:52 p  1 account_setup.php>  
*15:29:02 p  1 attendance.php>  
*15:49:55 p  1 account.php>  
*15:49:57 p  1 account_showscans.php>  
*16:12:06 p  1 t.php>  
*16:12:25 p  1 t.php>  
*16:12:39 p  1 t.php>  
*16:13:33 p  1 t.php>  
*22:27:07 p  1 t.php>  
*22:27:33 p  1 index.php>  
*22:27:33 p  1 welcome.php>  
*22:27:38 p  1 account.php>  
*22:27:39 p  1 account_showscans.php>  
*22:40:48 p  1 t.php>  
*22:43:34 p  1 t.php>  
*22:48:42 p  1 t.php>  
*23:35:04 p  1 t.php>  
*23:40:43 p  1 t.php>  
*23:40:45 p  1 t.php>  
*23:41:02 p  1 t.php>  
*23:41:16 p  1 t.php>  
*23:41:17 p  1 t.php>  
*23:41:29 p  1 t.php>  
*23:41:31 p  1 t.php>  
*23:42:04 p  1 t.php>  
*23:42:06 p  1 t.php>  
*23:42:32 p  1 t.php>  
*23:43:02 p  1 t.php>  
*23:44:25 p  1 t.php>  
*23:44:47 p  1 t.php>  
*23:49:32 p  1 t.php>  
*23:49:58 p  1 t.php>  
