#01/21/2015 Wednesday   Dals Development Computer
*14:54:25 p  1 attendance.php>  
*14:54:25 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:54:49 p  1 attendance.php>  
*14:54:49 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:55:16 p  1 attendance.php>  
*14:55:16 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:55:30 p  1 attendance.php>  
*14:55:30 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*14:55:55 p  1 attendance.php>  
*14:55:55 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:01:51 p  1 attendance.php>  
*15:01:51 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:03:04 p  1 attendance.php>  
*15:03:04 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:03:19 p  1 attendance.php>  
*15:03:19 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:04:20 p  1 attendance.php>  
*15:04:20 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:01 p  1 attendance_setup.php>  
*15:07:01 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:09 p  1 attendance_setup.php>  
*15:07:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:09 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*15:07:09 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:13 p  1 attendance.php>  
*15:07:13 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:34 p  1 attendance_setup.php>  
*15:07:34 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:39 p  1 attendance_setup.php>  
*15:07:39 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:39 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:39 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*15:07:39 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:07:41 p  1 attendance.php>  
*15:07:41 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:11:04 p  1 attendance.php>  
*15:11:04 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:12:21 p  1 attendance.php>  
*15:12:21 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:12:37 p  1 attendance.php>  
*15:12:37 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:12:51 p  1 attendance.php>  
*15:12:51 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:13:03 p  1 attendance.php>  
*15:13:03 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:13:15 p  1 attendance.php>  
*15:13:15 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:13:56 p  1 attendance.php>  
*15:13:56 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:14:17 p  1 attendance.php>  
*15:14:17 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:14:31 p  1 attendance.php>  
*15:14:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:14:48 p  1 attendance.php>  
*15:14:48 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:15:31 p  1 attendance.php>  
*15:15:31 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:41:03 p  1 attendance.php>  
*15:41:03 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:42:16 p  1 attendance.php>  
*15:42:16 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:47:49 p  1 t.php>  
*15:47:49 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:57:17 p  1 t.php>  
*15:57:17 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:07 p  1 t.php>  
*15:59:07 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:18 p  1 attendance_setup.php>  
*15:59:18 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:22 p  1 attendance_setup.php>  
*15:59:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:22 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*15:59:22 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:25 p  1 t.php>  
*15:59:25 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:26 p  1 t.php>  
*15:59:26 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:29 p  1 attendance_setup.php>  
*15:59:29 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:32 p  1 t.php>  
*15:59:32 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:45 p  1 attendance.php>  
*15:59:45 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:51 p  1 attendance_uploadevents.php>  
*15:59:51 p  1 attendance_setup.php>  
*15:59:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:57 p  1 attendance_setup.php>  
*15:59:57 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:57 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:57 s  1 preflib.php->SavePrefsForUser> 1 preferences updated/saved successfully for user 0
*15:59:57 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*15:59:59 p  1 t.php>  
*15:59:59 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:14:18 p  1 attendance.php>  
*16:14:18 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
*16:14:52 p  1 attendance.php>  
*16:14:52 s  1 preflib.php->GetPrefsForUser> 1 preferences retrieved successfully for user 0
